Business Name,Category,City,Address,Phone,Website,Google Maps Link,Rating,Reviews,Website Status,Lead Quality,Reason
Thind Dental Clinic,Dentist,Ludhiana,"hig market, 11-12-13, opposite Water Tank, near Lovely sweets, Jamalpur, Ludhiana, Punjab 141010, India",092568 92568,https://thind.com/,https://maps.google.com/?cid=13566416473322240528,4.8,2343,Yes,Low Priority,Already has website
Dr Garg's Dental Care,Dentist,Ludhiana,"opposite Children Traffic Training Park, near Sethi Study Circle, Pritm Nagar, Model Town, Ludhiana, Punjab 141002, India",099158 35290,,https://maps.google.com/?cid=2026701532666117835,4.9,711,No,Top Priority,"No website, high reviews"
"Clove Dental Clinic - Sarabha Nagar Malhar Road, Punjab",Dentist,Ludhiana,"Upper ground floor, 13-C, Sarabha Nagar Main Market, Sarabha Nagar, Ludhiana, Punjab 141002, India",011 6927 1068,https://clovedental.in/dentist-near-me/ludhiana/sarabha-nagar-malhar-road?utm_source=website&utm_medium=gmb&utm_campaign=Ludhiana_Sarabha_Nagar_Malhar_Road_GMB_Punjab,https://maps.google.com/?cid=849883051021185636,4.9,1144,Yes,Low Priority,Already has website
"Clove Dental Clinic - Urban Estate Sector 32A, Punjab",Dentist,Ludhiana,"above Yes Bank, Sector 32A, Ludhiana, Punjab 141003, India",011 6927 1068,https://clovedental.in/dentist-near-me/ludhiana/urban-estate-sec-32a?utm_source=website&utm_medium=gmb&utm_campaign=Ludhiana_Urban_Estate_Sec_32A_GMB_Punjab,https://maps.google.com/?cid=9405134406441115134,4.9,1001,Yes,Low Priority,Already has website
Jolly Dental Care - Best Implant Centre in Ludhiana/ Best Orthodontist in Ludhiana,Dentist,Ludhiana,"L Opposite Old, 120, Krishna Mandir Rd, Pritm Nagar, Model Town, Ludhiana, Punjab 141002, India",095018 67112,,https://maps.google.com/?cid=11631869485853923296,4.9,354,No,Top Priority,"No website, high reviews"
✅𝗗𝗿. 𝗥𝗮𝘃𝗶𝗸𝗮 𝗞𝗮𝗻𝗶𝘀𝗵 𝗠𝗗 𝗦𝗸𝗶𝗻 𝗦𝗽𝗲𝗰𝗶𝗮𝗹𝗶𝘀𝘁 -Skin Doctor/Laser Hair Reduction/Anti Ageing Treatments/Best Dermatologist in Ludhiana,Skin clinic,Ludhiana,"Kanish Mediclinics, Circuit House Rd, opp. Ansal plaza, Maharaj Nagar, Ludhiana, Punjab 141001, India",062837 39390,http://kanishmediclinics.co.in/,https://maps.google.com/?cid=12324096616996574437,4.8,528,Yes,Low Priority,Already has website
Dr. Aditi’s Skin & Hair Clinic | MD Skin & Hair | Pigmentation | Acne | Hair | Best Skin Specialist in Ludhiana,Skin clinic,Ludhiana,"533, near Bus Stand, Sita Nagar, Ludhiana, Punjab 141001, India",070096 29885,,https://maps.google.com/?cid=12357783261712796313,4.8,1065,No,Top Priority,"No website, high reviews"
"✅ Puri Skin Clinic - Skin Specialist, Acne, Melasma, Hair Transplant, Best Skin Doctor in Ludhiana",Skin clinic,Ludhiana,"77, Vishal Nagar Ext, Vishal Nagar, Shaheed Bhagat Singh Nagar, Ludhiana, Punjab 141013, India",098761 70054,https://puriskinclinic.com/,https://maps.google.com/?cid=4083515852821127505,4.9,355,Yes,Low Priority,Already has website
"Kaya Clinic - Sarabha Nagar, Ludhiana: Laser Hair Reduction, Acne Scar, Hair Loss, Skin Lightening & Fat Loss Treatments",Skin clinic,Ludhiana,"Shop No 28F, First Floor, Malhar Road Gurdev Nagar, opposite Starbucks, Sarabha Nagar, Ludhiana, Punjab 141001, India",086575 69343,https://clinics.kaya.in/near-me/ludhiana/Sarabha-Nagar/kaya-skin-hair-clinic-in-Sarabha-Nagar-ludhiana--2TE75S/home,https://maps.google.com/?cid=4627766802966549765,4.7,908,Yes,Low Priority,Already has website
Puri Skin Clinic : Dr Gurinderjit Singh Puri - Best Skin Doctor in Ludhiana | Acne Specialist | Dermatologist in Ludhiana,Skin clinic,Ludhiana,"77, Vishal Nagar Ext, Vishal Nagar, Shaheed Bhagat Singh Nagar, Ludhiana, Punjab 141013, India",098761 70054,https://puriskinclinic.com/about-us/,https://maps.google.com/?cid=13941713083328980418,4.8,145,Yes,Low Priority,Already has website
𝐋𝐔𝐃𝐇𝐈𝐀𝐍𝐀 𝐇𝐀𝐈𝐑 𝐒𝐓𝐔𝐃𝐈𝐎 - 𝐁𝐞𝐬𝐭 𝐇𝐚𝐢𝐫 𝐓𝐫𝐚𝐧𝐬𝐩𝐥𝐚𝐧𝐭 𝐂𝐥𝐢𝐧𝐢𝐜 I Punjab,Hair clinic,Ludhiana,"677 - F, F-Block SBS Nagar, F Block, Shaheed Bhagat Singh Nagar, Ludhiana, Punjab 141001, India",096460 64131,https://ludhianahairstudio.in/,https://maps.google.com/?cid=3427920256831717850,4.9,867,Yes,Low Priority,Already has website
"AK Clinics - Best Hair Transplant Clinic in Ludhiana, Skin & Hair Treatment in Ludhiana",Hair clinic,Ludhiana,"51-E, Sarabha Nagar, Opp Kipps Market, E-Block, Sarabha Nagar, Ludhiana, Punjab 141001, India",082838 12207,https://akclinics.com/ludhiana/hair-transplant/,https://maps.google.com/?cid=7176249749944520342,4.7,1284,Yes,Low Priority,Already has website
"AK Clinics - Hair Transplant Clinic in South City, Ludhiana",Hair clinic,Ludhiana,"60, Canal Rd, South End, Aggar Nagar, Ludhiana, Punjab 141001, India",097799 44207,https://akclinics.com/ludhiana/,https://maps.google.com/?cid=114249723481877536,4.8,532,Yes,Low Priority,Already has website
